player_name_home_player_1_info,player_name_home_player_2_info,player_name_home_player_3_info,player_name_home_player_4_info,player_name_home_player_5_info,player_name_home_player_6_info,player_name_home_player_7_info,player_name_home_player_8_info,player_name_home_player_9_info,player_name_home_player_10_info,player_name_home_player_11_info,player_name_home_player_1_info.1,player_name_home_player_2_info.1,player_name_home_player_3_info.1,player_name_home_player_4_info.1,player_name_home_player_5_info.1,player_name_home_player_6_info.1,player_name_home_player_7_info.1,player_name_home_player_8_info.1,player_name_home_player_9_info.1,player_name_home_player_10_info.1,player_name_home_player_11_info.1,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,home_player_1_position,home_player_2_position,home_player_3_position,home_player_4_position,home_player_5_position,home_player_6_position,home_player_7_position,home_player_8_position,home_player_9_position,home_player_10_position,home_player_11_position
Carlos Kameni,Sergio Sanchez,Daniel Jarque,,Gregory Beranger,Roman Martinez,Hurtado Perez Moises,Ivan de la Pena,Valdo,Raul Tamudo,Luis Garcia,Carlos Kameni,Sergio Sanchez,Daniel Jarque,,Gregory Beranger,Roman Martinez,Hurtado Perez Moises,Ivan de la Pena,Valdo,Raul Tamudo,Luis Garcia,25563,28439,33768.0,,75196,18592,24099,32766,33872,32764,24852,1.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,10.0,10.0,10.0
Carlos Kameni,Steve Finnan,Daniel Jarque,Sergio Sanchez,Gregory Beranger,Roman Martinez,Hurtado Perez Moises,Ferran Corominas,Luis Garcia,Nene,Raul Tamudo,Carlos Kameni,Steve Finnan,Daniel Jarque,Sergio Sanchez,Gregory Beranger,Roman Martinez,Hurtado Perez Moises,Ferran Corominas,Luis Garcia,Nene,Raul Tamudo,25563,24137,33768.0,28439.0,75196,18592,24099,33773,24852,37429,32764,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Sergio Sanchez,,Daniel Jarque,Gregory Beranger,Hurtado Perez Moises,Angel Cervara,Ferran Corominas,Nene,Luis Garcia,Raul Tamudo,Carlos Kameni,Sergio Sanchez,,Daniel Jarque,Gregory Beranger,Hurtado Perez Moises,Angel Cervara,Ferran Corominas,Nene,Luis Garcia,Raul Tamudo,25563,28439,,33768.0,75196,24099,47193,33773,37429,24852,32764,1.0,3.0,3.0,3.0,3.0,5.0,5.0,7.0,7.0,10.0,10.0
Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,Francisco Chica,Angel Cervara,Hurtado Perez Moises,Luis Garcia,Ferran Corominas,Nene,Jose Maria Callejon,Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,Francisco Chica,Angel Cervara,Hurtado Perez Moises,Luis Garcia,Ferran Corominas,Nene,Jose Maria Callejon,25563,28439,33768.0,38385.0,45440,47193,24099,24852,33773,37429,150330,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,Francisco Chica,Hurtado Perez Moises,Angel Cervara,Francisco Rufete,Ferran Corominas,Nene,Luis Garcia,Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,Francisco Chica,Hurtado Perez Moises,Angel Cervara,Francisco Rufete,Ferran Corominas,Nene,Luis Garcia,25563,28439,33768.0,38385.0,45440,24099,47193,37455,33773,37429,24852,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Francisco Chica,Daniel Jarque,Nicolas Pareja,Gregory Beranger,Milan Smiljanic,Roman Martinez,Jose Maria Callejon,Ferran Corominas,Nene,Luis Garcia,Carlos Kameni,Francisco Chica,Daniel Jarque,Nicolas Pareja,Gregory Beranger,Milan Smiljanic,Roman Martinez,Jose Maria Callejon,Ferran Corominas,Nene,Luis Garcia,25563,45440,33768.0,38385.0,75196,16230,18592,150330,33773,37429,24852,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Sergio Sanchez,Marc Torrejon Moya,Nicolas Pareja,David Garcia,Milan Smiljanic,Roman Martinez,Ferran Corominas,Luis Garcia,Nene,Ivan Alonso,Carlos Kameni,Sergio Sanchez,Marc Torrejon Moya,Nicolas Pareja,David Garcia,Milan Smiljanic,Roman Martinez,Ferran Corominas,Luis Garcia,Nene,Ivan Alonso,25563,28439,37879.0,38385.0,33767,16230,18592,33773,24852,37429,75194,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,David Garcia,Hurtado Perez Moises,Luis Garcia,Roman Martinez,Ivan de la Pena,Nene,Ivan Alonso,Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,David Garcia,Hurtado Perez Moises,Luis Garcia,Roman Martinez,Ivan de la Pena,Nene,Ivan Alonso,25563,28439,33768.0,38385.0,33767,24099,24852,18592,32766,37429,75194,1.0,3.0,3.0,3.0,3.0,5.0,7.0,7.0,7.0,7.0,11.0
Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,David Garcia,Hurtado Perez Moises,Ivan de la Pena,Francisco Rufete,Luis Garcia,Nene,Raul Tamudo,Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,David Garcia,Hurtado Perez Moises,Ivan de la Pena,Francisco Rufete,Luis Garcia,Nene,Raul Tamudo,25563,28439,33768.0,38385.0,33767,24099,32766,37455,24852,37429,32764,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,David Garcia,Jose Maria Callejon,Hurtado Perez Moises,Ivan de la Pena,Ivan Alonso,Nene,Raul Tamudo,Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,David Garcia,Jose Maria Callejon,Hurtado Perez Moises,Ivan de la Pena,Ivan Alonso,Nene,Raul Tamudo,25563,28439,33768.0,38385.0,33767,150330,24099,32766,75194,37429,32764,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
